GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,GRADE
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,9.94,8.571428571,14.69387755,B-
FEMALE,23,INDIA,TIADA PENAJA,AGEN KOMPUTERAN,10.5,8.857142857,15.18367347,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.88,11.71428571,20.08163265,A-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.25,7.714285714,13.2244898,B-
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,9.56,11.42857143,19.59183673,B-
FEMALE,22,MALAYSIA,BIASISWA,AGEN KOMPUTERAN,9.75,16.57142857,28.40816327,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,12.56,16.57142857,28.40816327,A
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.06,36,61.71428571,A-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.63,15.14285714,25.95918367,B-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.13,11.42857143,19.59183673,B+
FEMALE,22,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9.38,9.857142857,16.89795918,B
MALE,26,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,7.88,15.28571429,26.20408163,B-
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,13.31,39.71428571,68.08163265,A
MALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,18.14285714,31.10204082,B+
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,9.94,9,15.42857143,B+
MALE,22,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,4.31,14.57142857,24.97959184,C-
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12,5,8.571428571,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12,5.285714286,9.06122449,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12,4.714285714,8.081632653,A-
