GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,FreqW3,FreqW4,FreqW5,FreqW6,GRADE
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10,1.428571429,2.448979592,2.623906706,1.999167014,1.070982329,0.367193941,B+
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9.5,1.285714286,2.204081633,2.361516035,1.799250312,0.963884096,0.330474547,B+
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.75,2.428571429,4.163265306,4.460641399,3.398583923,1.820669959,0.6242297,B+
MALE,28,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,8.25,0.142857143,0.244897959,0.262390671,0.199916701,0.107098233,0.036719394,B+
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,6,2.285714286,3.918367347,4.198250729,3.198667222,1.713571726,0.587510306,B+
FEMALE,27,"KOREA, REPUBLIC OF",TIADA PENAJA,AGEN KOMPUTERAN,8.5,4.714285714,8.081632653,8.658892128,6.597251145,3.534241685,1.211740006,B
MALE,26,YEMEN,BIASISWA,AGEN KOMPUTERAN,11.25,2.571428571,4.408163265,4.72303207,3.598500625,1.927768192,0.660949094,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,14.25,0.428571429,0.734693878,0.787172012,0.599750104,0.321294699,0.110158182,B+
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10.88,1.142857143,1.959183673,2.099125364,1.599333611,0.856785863,0.293755153,B
MALE,26,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10.88,1.428571429,2.448979592,2.623906706,1.999167014,1.070982329,0.367193941,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,6.56,10.57142857,18.12244898,19.41690962,14.7938359,7.925269233,2.717235166,C-
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,12.56,12.57142857,21.55102041,23.09037901,17.59266972,9.424644493,3.231306683,A-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.06,7.714285714,13.2244898,14.16909621,10.79550187,5.783304575,1.982847283,B-
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,9,15.42857143,16.53061224,12.59475219,6.747188671,2.31332183,A
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,8.63,8,13.71428571,14.69387755,11.19533528,5.997501041,2.056286071,B+
FEMALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10.31,13.42857143,23.02040816,24.66472303,18.79216993,10.06723389,3.451623048,B+
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.81,7.285714286,12.48979592,13.3819242,10.19575177,5.462009877,1.872689101,A-
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,9.94,8.571428571,14.69387755,15.74344023,11.99500208,6.425893973,2.203163648,B-
FEMALE,23,INDIA,TIADA PENAJA,AGEN KOMPUTERAN,10.5,8.857142857,15.18367347,16.26822157,12.39483549,6.640090439,2.276602436,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.88,11.71428571,20.08163265,21.51603499,16.39316951,8.782055096,3.010990319,A-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.25,7.714285714,13.2244898,14.16909621,10.79550187,5.783304575,1.982847283,B-
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,9.56,11.42857143,19.59183673,20.99125364,15.99333611,8.56785863,2.93755153,B-
FEMALE,22,MALAYSIA,BIASISWA,AGEN KOMPUTERAN,9.75,16.57142857,28.40816327,30.43731778,23.19033736,12.42339501,4.259449719,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,12.56,16.57142857,28.40816327,30.43731778,23.19033736,12.42339501,4.259449719,A
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.06,36,61.71428571,66.12244898,50.37900875,26.98875469,9.253287321,A-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.63,15.14285714,25.95918367,27.81341108,21.19117035,11.35241269,3.892255778,B-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.13,11.42857143,19.59183673,20.99125364,15.99333611,8.56785863,2.93755153,B+
FEMALE,22,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9.38,9.857142857,16.89795918,18.10495627,13.79425239,7.389778069,2.533638195,B
MALE,26,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,7.88,15.28571429,26.20408163,28.07580175,21.39108705,11.45951092,3.928975172,B-
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,13.31,39.71428571,68.08163265,72.94460641,55.57684298,29.77330874,10.20799157,A
MALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,18.14285714,31.10204082,33.32361516,25.38942107,13.60147558,4.663363055,B+
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,9.94,9,15.42857143,16.53061224,12.59475219,6.747188671,2.31332183,B+
MALE,22,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,4.31,14.57142857,24.97959184,26.7638484,20.39150354,10.92401975,3.745378201,C-
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12,5,8.571428571,9.183673469,6.997084548,3.748438151,1.285178795,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12,5.285714286,9.06122449,9.70845481,7.396917951,3.962634617,1.358617583,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12,4.714285714,8.081632653,8.658892128,6.597251145,3.534241685,1.211740006,A-
MALE,24,CHINA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,4.571428571,7.836734694,8.396501458,6.397334444,3.427143452,1.175020612,C+
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,1.857142857,3.183673469,3.411078717,2.598917118,1.392277027,0.477352124,B+
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,4.285714286,7.346938776,7.871720117,5.997501041,3.212946986,1.101581824,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.25,4.714285714,8.081632653,8.658892128,6.597251145,3.534241685,1.211740006,B+
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,9.142857143,15.67346939,16.79300292,12.79466889,6.854286904,2.350041224,A-
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.75,4.571428571,7.836734694,8.396501458,6.397334444,3.427143452,1.175020612,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,8.857142857,15.18367347,16.26822157,12.39483549,6.640090439,2.276602436,A-
FEMALE,24,MALAYSIA,BIASISWA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,3.571428571,6.12244898,6.559766764,4.997917534,2.677455822,0.917984853,A-
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,3.714285714,6.367346939,6.822157434,5.197834236,2.784554055,0.954704247,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,5.714285714,9.795918367,10.49562682,7.996668055,4.283929315,1.468775765,A-
MALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,8.285714286,14.20408163,15.21865889,11.59516868,6.211697507,2.12972486,A-
MALE,25,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,3,5.142857143,5.510204082,4.198250729,2.24906289,0.771107277,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,7.714285714,13.2244898,14.16909621,10.79550187,5.783304575,1.982847283,A-
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,2.428571429,4.163265306,4.460641399,3.398583923,1.820669959,0.6242297,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,4,6.857142857,7.346938776,5.597667638,2.998750521,1.028143036,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,9.714285714,16.65306122,17.8425656,13.59433569,7.282679836,2.496918801,A
FEMALE,25,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,8.571428571,14.69387755,15.74344023,11.99500208,6.425893973,2.203163648,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,6.142857143,10.53061224,11.28279883,8.596418159,4.605224014,1.578933948,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.75,3,5.142857143,5.510204082,4.198250729,2.24906289,0.771107277,A
FEMALE,23,MALAYSIA,BIASISWA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13.75,7.142857143,12.24489796,13.11953353,9.995835069,5.354911644,1.835969706,A
FEMALE,23,JORDAN,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,13.42857143,23.02040816,24.66472303,18.79216993,10.06723389,3.451623048,B+
MALE,22,BANGLADESH,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,4,6.857142857,7.346938776,5.597667638,2.998750521,1.028143036,A-
MALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,12.19,9,15.42857143,16.53061224,12.59475219,6.747188671,2.31332183,A
