GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,FreqW3,FreqW4,GRADE
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,14.25,0.428571429,0.734693878,0.787172012,0.599750104,B+
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10.88,1.142857143,1.959183673,2.099125364,1.599333611,B
MALE,26,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10.88,1.428571429,2.448979592,2.623906706,1.999167014,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,6.56,10.57142857,18.12244898,19.41690962,14.7938359,C-
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,12.56,12.57142857,21.55102041,23.09037901,17.59266972,A-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.06,7.714285714,13.2244898,14.16909621,10.79550187,B-
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,9,15.42857143,16.53061224,12.59475219,A
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,8.63,8,13.71428571,14.69387755,11.19533528,B+
FEMALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10.31,13.42857143,23.02040816,24.66472303,18.79216993,B+
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.81,7.285714286,12.48979592,13.3819242,10.19575177,A-
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,9.94,8.571428571,14.69387755,15.74344023,11.99500208,B-
FEMALE,23,INDIA,TIADA PENAJA,AGEN KOMPUTERAN,10.5,8.857142857,15.18367347,16.26822157,12.39483549,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.88,11.71428571,20.08163265,21.51603499,16.39316951,A-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.25,7.714285714,13.2244898,14.16909621,10.79550187,B-
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,9.56,11.42857143,19.59183673,20.99125364,15.99333611,B-
FEMALE,22,MALAYSIA,BIASISWA,AGEN KOMPUTERAN,9.75,16.57142857,28.40816327,30.43731778,23.19033736,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,12.56,16.57142857,28.40816327,30.43731778,23.19033736,A
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.06,36,61.71428571,66.12244898,50.37900875,A-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.63,15.14285714,25.95918367,27.81341108,21.19117035,B-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.13,11.42857143,19.59183673,20.99125364,15.99333611,B+
FEMALE,22,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9.38,9.857142857,16.89795918,18.10495627,13.79425239,B
MALE,26,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,7.88,15.28571429,26.20408163,28.07580175,21.39108705,B-
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,13.31,39.71428571,68.08163265,72.94460641,55.57684298,A
MALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,18.14285714,31.10204082,33.32361516,25.38942107,B+
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,9.94,9,15.42857143,16.53061224,12.59475219,B+
MALE,22,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,4.31,14.57142857,24.97959184,26.7638484,20.39150354,C-
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12,5,8.571428571,9.183673469,6.997084548,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12,5.285714286,9.06122449,9.70845481,7.396917951,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12,4.714285714,8.081632653,8.658892128,6.597251145,A-
MALE,24,CHINA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,4.571428571,7.836734694,8.396501458,6.397334444,C+
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,1.857142857,3.183673469,3.411078717,2.598917118,B+
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,4.285714286,7.346938776,7.871720117,5.997501041,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.25,4.714285714,8.081632653,8.658892128,6.597251145,B+
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,9.142857143,15.67346939,16.79300292,12.79466889,A-
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.75,4.571428571,7.836734694,8.396501458,6.397334444,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,8.857142857,15.18367347,16.26822157,12.39483549,A-
FEMALE,24,MALAYSIA,BIASISWA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,3.571428571,6.12244898,6.559766764,4.997917534,A-
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,3.714285714,6.367346939,6.822157434,5.197834236,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,5.714285714,9.795918367,10.49562682,7.996668055,A-
MALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,8.285714286,14.20408163,15.21865889,11.59516868,A-
MALE,25,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,3,5.142857143,5.510204082,4.198250729,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,7.714285714,13.2244898,14.16909621,10.79550187,A-
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,2.428571429,4.163265306,4.460641399,3.398583923,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,4,6.857142857,7.346938776,5.597667638,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,9.714285714,16.65306122,17.8425656,13.59433569,A
FEMALE,25,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,8.571428571,14.69387755,15.74344023,11.99500208,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,6.142857143,10.53061224,11.28279883,8.596418159,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.75,3,5.142857143,5.510204082,4.198250729,A
FEMALE,23,MALAYSIA,BIASISWA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13.75,7.142857143,12.24489796,13.11953353,9.995835069,A
FEMALE,23,JORDAN,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,13.42857143,23.02040816,24.66472303,18.79216993,B+
MALE,22,BANGLADESH,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,4,6.857142857,7.346938776,5.597667638,A-
MALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,12.19,9,15.42857143,16.53061224,12.59475219,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.81,14.42857143,24.73469388,26.50145773,20.19158684,A-
MALE,29,SOMALIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,22.57142857,38.69387755,41.45772595,31.58683882,B+
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.31,18,30.85714286,33.06122449,25.18950437,A-
MALE,22,CHINA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,8.81,20.42857143,35.02040816,37.52186589,28.5880883,B-
FEMALE,22,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,11.25,10,17.14285714,18.36734694,13.9941691,A-
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.19,9.571428571,16.40816327,17.58017493,13.39441899,A
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.75,22,37.71428571,40.40816327,30.78717201,B
